ID,name,href,first_party,second_party,winning_party,winner_index,facts
44,Fre Le Poole Griffiths v. State Bar Examining Committee of Connecticut,https://api.oyez.org/cases/1972/71-1336,Fre Le Poole Griffiths,State Bar Examining Committee of Connecticut,,,"<p>Fre Le Poole Griffiths, a citizen of the Netherlands, came to the United States in 1965 as a visitor. In 1967, she married a U.S. citizen and became a resident of Connecticut. She then attended Yale Law School and applied to take the Connecticut Bar in 1970. Despite the County Bar Association fin"
45,Pittsburgh Press Company v. Pittsburgh Commission on Human Relations,https://api.oyez.org/cases/1972/72-419,Pittsburgh Press Company,Pittsburgh Commission on Human Relations,,,"<p>To prevent gender discrimination, the Pittsburgh Commission on Human Relations (the Commission) created an ordinance that forbids newspapers to advertise employment opportunities in gender-designated column. The National Organization for Women, Inc. filed a complaint with the Commission alleging "
46,Gottschalk v. Benson,https://api.oyez.org/cases/1972/71-485,Gottschalk,Benson,,,"<p>Engineers Gary Benson and Arthur Tabbot invented a faster and more efficient mathematical procedure for transforming the normal ""decimal"" type of numbers (base 10) into true ""binary"" numbers (base 2) which are simpler to process within computers. Their mathematical procedure was somewhat akin to "
47,United States v. Russell,https://api.oyez.org/cases/1972/71-1585,United States,Russell,,,"<p>At the conclusion of an undercover drug investigation, Richard Russell was arrested by Washington police and eventually convicted in a district court for drug manufacturing crimes. Russell challenged his conviction as the result of unconstitutional entrapment practices, since an undercover agent "
48,John R Gagnon v. Gerald Scarpello,https://api.oyez.org/cases/1972/71-1225,John R Gagnon,Gerald Scarpello,,,"<p>After pleading guilty to armed robbery in Wisconsin, Gerald Scarpelli, was sentenced to 15 years’ imprisonment, which was later reduced to probation. Scarpelli signed an agreement allowing him to reside in Illinois and was supervised by the Adult Probation Department of Illinois. Shortly after, S"
49,"California, et al. v. Robert LaRue, et al.",https://api.oyez.org/cases/1972/71-36,"California, et al.","Robert LaRue, et al.",,,"<p>After receiving reports of the type of sexual activity occurring on the premises of licensed liquor sellers, the California Department of Alcoholic Beverage Control promulgated a series of regulations pertaining to the conduct on such licensed premises. The appellees, a group of holders of variou"
50,"Committee for Public Education & Religious Liberty v. Ewald B. Nyquist, Commissioner of Education of New York",https://api.oyez.org/cases/1972/72-694,Committee for Public Education & Religious Liberty,"Ewald B. Nyquist, Commissioner of Education of New York",,,"<p>New York enacted Chapter 414 of its Education and Tax Laws, which created aid programs for nonpublic elementary and secondary schools. These amendments included Section 1, which provided a grant for the maintenance and repair of schools that served many low-income students; Section 2, which provi"
51,"Jule M. Sugarman, Administrator, New York City Human Resources Administration et al. v. Patrick McL. Dougall et al.",https://api.oyez.org/cases/1972/71-1222,"Jule M. Sugarman, Administrator, New York City Human Resources Administration et al.",Patrick McL. Dougall et al.,,,<p>Patrick Dougall was a federally registered resident alien. He was employed by a nonprofit organization that was absorbed into the Manpower Career and Development Agency (MCDA) of New York City's Human Resources Administration. He was ineligible for employment by the city under Section 53 of the N
52,Leon Chambers v. Mississippi,https://api.oyez.org/cases/1972/71-5908,Leon Chambers,Mississippi,,,"<p>Leon Chambers was charged with murdering a policeman. Another man, Gable McDonald, confessed to the murder, in addition to confession to third parties, and was taken into custody. One month later, McDonald denied the confession and was released from custody. At trial, Chambers tried to prove McDo"
53,Lemon v. Kurtzman,https://api.oyez.org/cases/1972/71-1470,Lemon,Kurtzman,,,"<p>The Pennsylvania legislature passed Act 109, which reimbursed nonpublic religious schools for certain secular educational services. On June 28, 1971, the Supreme Court held that Act 109 violated the Establishment Clause of the First Amendment. The case was remanded, and on remand the district cou"
54,U.S. Department of Agriculture et al. v. Jacinta Moreno et al.,https://api.oyez.org/cases/1972/72-534,U.S. Department of Agriculture et al.,Jacinta Moreno et al.,,,"<p>Jacinta Moreno lived with Ermina Sanchez, who was not related, and Sanchez's three children. Sanchez provided care to Moreno, who contributed to household living expenses. Moreno satisfied the income requirements for the federal food stamp program, but was denied under Section 3 of the Food Stamp"
55,Paris Adult Theatre I v. Slaton,https://api.oyez.org/cases/1972/71-1051,Paris Adult Theatre I,Slaton,,,"<p>State officials in Georgia sought to enjoin the showing of allegedly obscene films at the Paris Adult Theatre. The Theatre clearly warned potential viewers of the sexual nature of the films and required that patrons be at least 21 years of age. The Georgia Supreme Court held that the films were """
56,Rosalind McClanahan v. Arizona State Tax Commission,https://api.oyez.org/cases/1972/71-834,Rosalind McClanahan,Arizona State Tax Commission,,,"<p>Rosalind McClanahan was a member of the Navajo Indian nation who lived on the Navajo Reservation in Apache County, Arizona. Her employer withheld $16.20 in 1967 for Arizona state income taxes. McClanahan sought the return of her withheld income. She claimed that since she was a Navajo Indian resi"
57,McDonnell Douglas Corporation v. Percy Green,https://api.oyez.org/cases/1972/72-490,McDonnell Douglas Corporation,Percy Green,,,"<p>Percy Green, a black civil rights activist, was a mechanic working for the McDonnell Douglas Corporation, a St. Louis-based aerospace and aircraft manufacturer, from 1956 until August 28, 1964, when he was laid off. Green protested his discharge by saying that the company’s hiring and firing prac"
58,San Antonio Independent School District v. Rodriguez,https://api.oyez.org/cases/1972/71-1332,San Antonio Independent School District,Rodriguez,,,"<p>In addition to being funded through a state-funded program designed to establish a minimum educational threshold in every school, Texas public elementary and secondary schools rely on local property taxes for supplemental revenue. Rodriguez, acting on behalf of students whose families reside in p"
59,United States v. Dominic Nicholas Giordano et al. ,https://api.oyez.org/cases/1973/72-1057,United States,Dominic Nicholas Giordano et al. ,,,"<p>In October 1970, an Assistant United States Attorney filed an application for a wiretap with a federal judge. According to the Omnibus Crime Control and Safe Streets Act of 1968 (Act), every application for the interception of wire or oral communications had to be authorized by the Attorney Gener"
60,"United States v. Richard M. Nixon, et al.",https://api.oyez.org/cases/1973/73-1766,United States,"Richard M. Nixon, et al.",,,<p>A grand jury returned indictments against seven of President Richard Nixon's closest aides in the Watergate affair. The special prosecutor appointed by Nixon and the defendants sought audio tapes of conversations recorded by Nixon in the Oval Office. Nixon asserted that he was immune from the sub
61,Milliken v. Bradley,https://api.oyez.org/cases/1973/73-434,Milliken,Bradley,,,"<p>A suit charging that the Detroit, Michigan public school system was racially segregated as a result of official policies was filed against Governor Milliken. After reviewing the case and concluding the system was segregated, a district court ordered the adoption of a desegregation plan that encom"
62,United States v. William Earl Matlock,https://api.oyez.org/cases/1973/72-1355,United States,William Earl Matlock,,,"<p>Police arrested William Earl Matlock, a bank robbery suspect, in the front yard of the house where he lived.  Police did not ask Matlock which room he occupied in the house or whether they could conduct a search.  A woman, who gave them permission to search the house, including the bedroom where "
63,"Communist Party of Indiana, et al. v. Edgar D. Whitcomb, etc., at al.",https://api.oyez.org/cases/1973/72-1040,"Communist Party of Indiana, et al.","Edgar D. Whitcomb, etc., at al.",,,"<p>In 1972, the Communist Party of Indiana, a new political party, wished to place its candidates for President and Vice President of the United States on the ballot. The Indiana State Election Board rejected its application to do so until the officers of the party had filed an affidavit stating tha"
64,Wolff v. McDonnell,https://api.oyez.org/cases/1973/73-679,Wolff,McDonnell,,,"<p>An inmate of a Nebraska state prison started a class action lawsuit, on behalf of himself and other inmates, alleging that prison disciplinary proceedings violated the Due Process Clause of the Fourteenth Amendment. The suit also objected to the prison's inspection of privileged mail between inma"
65,"Geduldig, Director, Department of Human Resources Development v. Carolyn Aiello et al.",https://api.oyez.org/cases/1973/73-640,"Geduldig, Director, Department of Human Resources Development",Carolyn Aiello et al.,,,<p>Carolyn Aiello experienced disability as a result of complications during her pregnancy. She was ineligible for benefits from California's Disability Fund under Section 2626 of California's Unemployment Insurance Code. Section 2626 denied benefits to women whose disabilities resulted from pregnan
66,United States v. John P. Calandra,https://api.oyez.org/cases/1973/72-734,United States,John P. Calandra,,,"<p>A federal grand jury questioned John P. Calandra in connection with loan sharking activities.  The questions were based on evidence obtained during a search of Calandra’s business, Royal Machine and Tool Company.  Calandra refused to answer any questions, arguing that the search of Royal Machine "
67,United States v. Richardson,https://api.oyez.org/cases/1973/72-885,United States,Richardson,,,"<p>Richardson, a taxpayer interested in activities of the Central Intelligence Agency, sued the government to provide records detailing the CIA's expenditures.</p>
"
68,Jenkins v. Georgia,https://api.oyez.org/cases/1973/73-557,Jenkins,Georgia,,,"<p>An Albany, Georgia theater manager was convicted under a Georgia obscenity law when he showed the critically acclaimed film ""Carnal Knowledge."" The film explored social conceptions of sexuality and starred Jack Nicholson and Ann Margaret.</p>
"
69,"Cleveland Board of Education, Chesterfield County School Board, Dr. Robert F. Kelly v. Jo Carol LaFleur, Ann Elizabeth Nelson, Susan Cohen",https://api.oyez.org/cases/1973/72-777,"Cleveland Board of Education, Chesterfield County School Board, Dr. Robert F. Kelly","Jo Carol LaFleur, Ann Elizabeth Nelson, Susan Cohen",,,"<p>Carol Jo LaFleur was a teacher at Patrick Henry Junior High School in Cleveland, Ohio. She was forced to discontinue her duties on March 12, 1971 because the Cleveland School Board required every teacher to take maternity leave without pay five months before the expected date of birth. The board "
70,"Mel Kahn, etc. v. Robert L. Shevin, et al.",https://api.oyez.org/cases/1973/73-78,"Mel Kahn, etc.","Robert L. Shevin, et al.",,,"<p>Since 1941, Florida has granted a $500 property tax exemption for widows but no similar exemption for widowers. Widower Mel Kahn applied to the Dade County Tax Assessor’s Office for the property tax exemption, which was denied. He sued in circuit court and sought a declaratory judgment. The circu"
71,"Richard Guy Steffel v. John R. Thompson, et al.",https://api.oyez.org/cases/1973/72-5581,Richard Guy Steffel,"John R. Thompson, et al.",,,"<p>On October 8, 1970, Richard Guy Steffel and other individuals were distributing flyers protesting American involvement in the Vietnam War on the exterior sidewalk of the North DeKalb Shopping Center. Employees asked them to stop, but they did not, so the employees called the police. The police in"
72,Mitchell v. W. T. Grant Company,https://api.oyez.org/cases/1973/72-6160,Mitchell,W. T. Grant Company,,,"<p>Lawrence Mitchell purchased a refrigerator, range, stereo, and washing machine from W. T. Grant Company and fell behind on payments. W. T. Grant sued Mitchell in state court to recover the $574.17 balance. Pursuant to Louisiana law, W. T. Grant offered proof that it had a vendor's lien on the pro"
73,"Rogers C. B. Morton, Secretary of the Interior et al. v. C. R. Mancari et al.",https://api.oyez.org/cases/1973/73-362,"Rogers C. B. Morton, Secretary of the Interior et al.",C. R. Mancari et al.,,,"<p>Congress passed the Indian Reorganization Act in 1934. The Act included a provision in 25 U.S.C. Section 472 that gave hiring preference Native Americans for positions in the Bureau of Indian Affairs (BIA). Congress then passed the Equal Employment Opportunity Act of 1972, which prohibited racial"
74,"American Pipe and Construction Company, et al v. State of Utah, et al",https://api.oyez.org/cases/1973/72-1195,"American Pipe and Construction Company, et al","State of Utah, et al",,,"<p>In 1964, the federal government sued several corporations for rigging prices of concrete and steel pipes in violation of the Sherman Act. That case reached a final judgment in May 1968, when all parties agreed to terms that prevented the companies from engaging in future violations of anti-trust "
75,Joseph Anthony Davis v. United States,https://api.oyez.org/cases/1973/72-1454,Joseph Anthony Davis,United States,,,"<p>Joseph Anthony Davis was classified as I-A by a draft board and ordered to report for a physical examination. He failed to report several times. The draft board declared him a delinquent, and issued an order that he be inducted into the Armed Forces. Under 32 CFR Section 1631.7, a draftee could o"
76,Miami Herald Publishing Company v. Pat Tornillo,https://api.oyez.org/cases/1973/73-797,Miami Herald Publishing Company,Pat Tornillo,,,"<p>Pat Tornillo was Executive Director of the Classroom Teachers Association and a candidate for the Florida House of Representatives in Dade County, Florida. The <em>Miami Herald</em> published two editorials criticizing Tornillo and his candidacy. He demanded that the <em>Herald</em> publish his r"
77,Harold Omond Spence  v. Washington,https://api.oyez.org/cases/1973/72-1690,Harold Omond Spence ,Washington,,,"<p>Harold Omand Spence displayed an American flag with a peace symbol made out of removable tape on it outside of his home in Seattle, WA.  When officers came to his house he offered to take the flag down, but was arrested, charged, and convicted under a Washington statute that forbade the display o"
78,Gertz v. Robert Welch Inc.,https://api.oyez.org/cases/1973/72-617,Gertz,Robert Welch Inc.,,,"<p>Gertz was an attorney hired by a family to sue a police officer who had killed the family's son. In a magazine called American Opinion, the John Birch Society accused Gertz of being a ""Leninist"" and a ""Communist-fronter"" because he chose to represent clients who were suing a law enforcement offic"
79,"Village of Belle Terre, et al. v. Bruce Boraas, et al.",https://api.oyez.org/cases/1973/73-191,"Village of Belle Terre, et al.","Bruce Boraas, et al.",,,"<p>The Village of Belle Terre in New York had an ordinance restricting land use to one-family dwellings. The statute’s meaning of “family” was one or more related persons or not more than two unrelated people. The appellees owned a house and leased it to unrelated people, in violation of the Village"
80,United States v. Robinson,https://api.oyez.org/cases/1973/72-936,United States,Robinson,,,"<p>A police officer pulled over and arrested Robinson for operating an automobile without a valid permit. The officer then frisked Robinson and discovered a crumpled cigarette package containing fourteen vials of heroin in his pocket.</p>
"
81,"Richard E. Gerstein, State Attorney for the Eleventh Judicial Circuit of Florida  v. Robert Pugh, Nathaniel Henderson, Thomas Turner, Gary Faulk on their own behalf and on behalf of other similarly situated",https://api.oyez.org/cases/1973/73-477,"Richard E. Gerstein, State Attorney for the Eleventh Judicial Circuit of Florida ","Robert Pugh, Nathaniel Henderson, Thomas Turner, Gary Faulk on their own behalf and on behalf of other similarly situated",,,"<p>Robert Pugh and Nathanial Henderson were arrested in Florida and charged with felony and misdemeanor charges not punishable by death. Pugh was denied bail and Henderson was unable to post a $4,500 bond, so both remained in custody. Florida law only required indictments for capitol offenses, so Pu"
